be0971d9-5621-11ec-adcc-b46bfc47735d,40ddca74-5601-11ec-b7f9-b46bfc47735d,Question 1 Clarification,9/5/2021 16:30,Are we to find countries who have won no medals and report all the last names associated with them or find the last names of all athletes who have no medals?,assignment1,X,bSZa17FK2l
be0971f7-5621-11ec-974d-b46bfc47735d,9940f76c-5607-11ec-9e84-b46bfc47735d,Music Industry database Trouble,2/28/2020 5:50,I am trying to create a local copy of the database but it takes an absurdly long time. What should I do?,homeworks,X,WJrWAidLZ5
be0971f8-5621-11ec-9096-b46bfc47735d,9940f76c-5607-11ec-9e84-b46bfc47735d,Java GUI,4/1/2020 0:30,Does it matter if my GUI is ugly?,homeworks,X,tmt3aPs20s
be0971f9-5621-11ec-9932-b46bfc47735d,9940f76c-5607-11ec-9e84-b46bfc47735d,JDK version,4/2/2020 14:24,Which JDK version should we be using?,homeworks,X,PiQvBSPut9
be0971fa-5621-11ec-b803-b46bfc47735d,9940f76c-5607-11ec-9e84-b46bfc47735d,Sample midterms,4/10/2020 13:02,Are there sample midterm exams?,exams,X,tmt3aPs20s
be0971fb-5621-11ec-bf0e-b46bfc47735d,9940f76c-5607-11ec-9e84-b46bfc47735d,Sample final exams,5/1/2020 2:08,Are there solutions for the sample final exams?,exams,X,PiQvBSPut9
be0971f2-5621-11ec-b058-b46bfc47735d,9940f76d-5607-11ec-aac6-b46bfc47735d,Java IDE,9/15/2020 6:53,Does anybody have any suggestions about a good IDE to use?,proj1,X,8uv1aK9btU
be0971f3-5621-11ec-8b9f-b46bfc47735d,9940f76d-5607-11ec-aac6-b46bfc47735d,Runtime,10/13/2020 22:39,My runtimes are larger than what is in the sample runtimes.txt file. Will I lose points?,proj2,X,WVztzxaqG1
be0971f4-5621-11ec-96f8-b46bfc47735d,9940f76d-5607-11ec-aac6-b46bfc47735d,Trouble with delete,10/28/2020 5:19,My delete in the double-ended link list isn't working. It deletes the entire list!,proj3,X,lKOmgoDP5M
be0971f5-5621-11ec-91ba-b46bfc47735d,9940f76d-5607-11ec-aac6-b46bfc47735d,Shuffling for Quicksort,11/12/2020 8:59,What is the best way to shuffle an array at the start of quicksort?,proj4,X,pAA8hhbaAf
be0971f6-5621-11ec-afe6-b46bfc47735d,9940f76d-5607-11ec-aac6-b46bfc47735d,BST item deletion,11/28/2020 3:35,How do you delete if it's not the min or max value?,proj5,X,bCSKEQsp82
be0971e9-5621-11ec-8e10-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,RA operation,2/4/2021 3:45,What does the bowtie symbol mean?,assignments,X,qjAClhRo8T
be0971eb-5621-11ec-b400-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,SQL server,3/21/2021 4:28,How do we install PostGresSQL on our local machine?,assignments,X,cp5asEx6KR
be0971ec-5621-11ec-ae04-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,GROUP BY query,3/29/2021 4:47,Does it matter where GROUP BY is located?,assignments,X,AnRRwDoMFm
be0971ea-5621-11ec-8cb3-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,Midterm content,4/9/2021 19:13,What will be covered on the midterm?,exams,X,I8k5HwpLlU
be0971ee-5621-11ec-b466-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,Week 10 Prep,4/10/2021 12:31,Canvas is not allowing me to submit the weekly prep quiz. What should I do?,preps,X,nlNo3Ifie2
be0971ef-5621-11ec-8961-b46bfc47735d,9940f76e-5607-11ec-8c89-b46bfc47735d,Week 11 Prep,4/17/2021 12:31,Does anybody have a link to the Google Cloud Platform?,preps,X,fe20lUruvB
