A1Kcf8Z1u3,9940f768-5607-11ec-b7c6-b46bfc47735d,78,67,70,83,47,93,30,106,9,80,C
Rjuqf7P3nX,9940f768-5607-11ec-b7c6-b46bfc47735d,96,71,94,67,24,73,28,126,8,90,A
ECk9NPOnC1,9940f768-5607-11ec-b7c6-b46bfc47735d,88,60,97,94,43,86,53,103,0,64,B-
0nYGfSzH52,9940f768-5607-11ec-b7c6-b46bfc47735d,83,100,27,33,20,80,56,34,3,99,C-
8BdlWK9mvn,9940f768-5607-11ec-b7c6-b46bfc47735d,87,56,63,56,55,46,57,103,9,47,B
hEp6l3yRkB,9940f768-5607-11ec-b7c6-b46bfc47735d,73,88,73,68,57,83,23,135,8,24,B
vrSPzDaBog,9940f768-5607-11ec-b7c6-b46bfc47735d,46,51,64,47,57,56,33,107,8,41,D+
yVEE6glmyP,9940f768-5607-11ec-b7c6-b46bfc47735d,52,88,90,67,20,29,28,45,1,82,C+
4D8d5NFQey,9940f768-5607-11ec-b7c6-b46bfc47735d,74,96,69,94,31,92,41,149,3,67,A
tmil3gYi8I,9940f768-5607-11ec-b7c6-b46bfc47735d,55,56,92,54,41,22,41,120,3,58,B-
stB2damzF1,9940f768-5607-11ec-b7c6-b46bfc47735d,94,47,70,50,41,22,56,124,7,28,C+
Q5zYQSo07T,9940f768-5607-11ec-b7c6-b46bfc47735d,73,82,40,77,30,62,47,91,3,70,D+
WJrWAidLZ5,9940f769-5607-11ec-9f03-b46bfc47735d,95,72,100,72,27,100,55,64,5,80,C
l8fb19WIds,9940f769-5607-11ec-9f03-b46bfc47735d,88,70,92,88,55,82,24,138,7,79,D
DlK1RDF6DZ,9940f769-5607-11ec-9f03-b46bfc47735d,69,61,51,72,40,67,49,57,3,92,B
s8jX7v1r9L,9940f769-5607-11ec-9f03-b46bfc47735d,80,46,64,35,21,76,36,120,1,58,C+
qSaWq5Khmt,9940f769-5607-11ec-9f03-b46bfc47735d,78,90,68,50,29,77,59,149,6,49,A
JEdJCRTwMu,9940f769-5607-11ec-9f03-b46bfc47735d,98,52,97,78,45,92,43,141,6,96,A
LbOIaCTwOR,9940f769-5607-11ec-9f03-b46bfc47735d,78,69,89,94,35,41,59,146,3,36,A
F8SGo1rfbJ,9940f769-5607-11ec-9f03-b46bfc47735d,81,91,53,92,26,53,43,71,6,99,A-
aDQQtN7BnB,9940f769-5607-11ec-9f03-b46bfc47735d,90,78,72,65,47,77,53,86,7,84,C
w4xX1lvTG7,9940f769-5607-11ec-9f03-b46bfc47735d,68,45,92,39,25,99,30,47,3,86,D+
ixYZCGpl5D,9940f769-5607-11ec-9f03-b46bfc47735d,58,45,86,66,36,73,53,65,3,58,D+
iep724zbM3,9940f769-5607-11ec-9f03-b46bfc47735d,63,61,87,35,20,96,47,101,5,79,A
rRMSF0EH7d,9940f769-5607-11ec-9f03-b46bfc47735d,71,75,68,64,48,83,28,42,1,78,B
EWUS9AaKts,9940f769-5607-11ec-9f03-b46bfc47735d,89,67,54,98,22,63,32,119,4,54,B
A1Kcf8Z1u3,9940f76a-5607-11ec-ae8d-b46bfc47735d,62,95,98,88,67,58,98,66,58,94,A
Rjuqf7P3nX,9940f76a-5607-11ec-ae8d-b46bfc47735d,100,92,86,78,74,54,58,85,67,59,A
ECk9NPOnC1,9940f76a-5607-11ec-ae8d-b46bfc47735d,60,81,88,93,69,69,67,61,86,51,C
0nYGfSzH52,9940f76a-5607-11ec-ae8d-b46bfc47735d,63,71,57,26,75,44,25,20,45,58,A
8BdlWK9mvn,9940f76a-5607-11ec-ae8d-b46bfc47735d,86,68,41,74,77,77,100,78,96,74,B
hEp6l3yRkB,9940f76a-5607-11ec-ae8d-b46bfc47735d,56,71,96,41,26,23,75,68,97,66,D
vrSPzDaBog,9940f76a-5607-11ec-ae8d-b46bfc47735d,48,76,65,75,88,31,62,72,46,40,A
yVEE6glmyP,9940f76a-5607-11ec-ae8d-b46bfc47735d,56,88,26,97,94,80,55,45,70,82,B
